종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","벤처기업부","1820","-24","-1.30","1848","1855","1817","91762","168253374","96567452800","53059040"
"095570","AJ네트웍스","KOSPI",,"4320","-40","-0.92","4360","4395","4305","121893","527252655","195491918880","45252759"
"006840","AK홀딩스","KOSPI",,"11210","-170","-1.49","11730","11730","11190","10237","115982060","148505158810","13247561"
"054620","APS","KOSDAQ","중견기업부","4730","75","1.61","4625","4755","4625","7108","33335345","94099665330","19894221"
"265520","AP시스템","KOSDAQ","우량기업부","17610","240","1.38","17380","17710","17210","89393","1570123460","269105823810","15281421"
"211270","AP위성","KOSDAQ","우량기업부","11720","30","0.26","11820","11840","11670","10923","128074240","176764602880","15082304"
"109960","AP헬스케어","KOSDAQ","투자주의환기종목(소속부없음)","378","6","1.61","372","383","364","1001438","371810433","83458343682","220789269"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"4015","-30","-0.74","4055","4055","4005","32086","129111434","384302915865","95716791"
"282330","BGF리테일","KOSPI",,"119000","-1000","-0.83","119500","120100","118400","20787","2476214250","2056784814000","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","2965","-20","-0.67","2990","3010","2950","38028","112866822","186103855535","62766899"
"138930","BNK금융지주","KOSPI",,"14690","350","2.44","14360","14830","14360","804932","11778322525","4677053894110","318383519"
"001460","BYC","KOSPI",,"39950","350","0.88","39600","40500","38950","4902","196500800","249533692500","6246150"
"001465","BYC우","KOSPI",,"25600","-300","-1.16","25900","26100","25050","3112","80176200","55138560000","2153850"
"083790","CG인바이츠","KOSDAQ","벤처기업부","1579","22","1.41","1600","1600","1520","261294","402723440","121415913378","76894182"
"001040","CJ","KOSPI",,"155800","2500","1.63","154100","160900","153300","182143","28670102100","4545776288400","29176998"
"079160","CJ CGV","KOSPI",,"4815","-60","-1.23","4915","4915","4790","168260","811350986","797272192395","165580933"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","75500","-1300","-1.69","75900","76800","74600","137454","10417557300","1655651127000","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","9940","420","4.41","9520","10220","9520","57072","572691530","129870692280","13065462"
"00104K","CJ4우(전환)","KOSPI",,"130700","700","0.54","129100","133500","129100","7615","999800700","552405118400","4226512"
"000120","CJ대한통운","KOSPI",,"83100","-400","-0.48","83600","84200","82600","30226","2509896550","1895705786400","22812344"
"011150","CJ씨푸드","KOSPI",,"2895","0","0.00","2900","2910","2880","71398","206387840","104019587835","35930773"
"011155","CJ씨푸드1우","KOSPI",,"17070","70","0.41","17020","17070","17020","10","170250","3414000000","200000"
"001045","CJ우","KOSPI",,"83700","2000","2.45","81500","84600","81400","6292","527633750","189180665100","2260223"
"097950","CJ제일제당","KOSPI",,"231500","2500","1.09","231500","234000","229000","76899","17777872000","3485044059000","15054186"
"097955","CJ제일제당 우","KOSPI",,"139900","1000","0.72","140000","140100","139000","2965","414438950","185707876700","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","29650","-50","-0.17","29500","29750","29250","18034","533818200","351992524900","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","1881","-3","-0.16","1885","1894","1867","239186","448575495","277427467350","147489350"
"056730","CNT85","KOSDAQ","벤처기업부","746","-24","-3.12","768","770","731","77191","57350945","55286944756","74111186"
"000480","CR홀딩스","KOSPI",,"5010","10","0.20","5080","5080","5000","33435","167408780","234921354900","46890490"
"065770","CS","KOSDAQ","벤처기업부","997","-3","-0.30","1000","1005","995","27303","27256070","19352896610","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","1395","-92","-6.19","1483","1517","1336","668636","954974239","85439817495","61247181"
"000590","CS홀딩스","KOSPI",,"81200","-1100","-1.34","82300","82700","81200","524","42753200","93743938400","1154482"
"012030","DB","KOSPI",,"1371","1","0.07","1380","1403","1360","873217","1210768763","275809462143","201173933"
"477760","DB금융스팩12호","KOSDAQ","SPAC(소속부없음)","2080","10","0.48","2065","2080","2065","43","89190","12147200000","5840000"
"005830","DB손해보험","KOSPI",,"131300","600","0.46","134600","134700","128500","95372","12499846550","9296040000000","70800000"
"016610","DB증권","KOSPI",,"8390","20","0.24","8400","8480","8290","47633","399151600","356125203710","42446389"
"000990","DB하이텍","KOSPI",,"45950","-700","-1.50","46550","46550","45800","56645","2609874650","2040115118600","44398588"
"099520","DGI","KOSDAQ","관리종목(소속부없음)","1284","0","0.00","0","0","0","0","0","58141862016","45281824"
"060900","DGP","KOSDAQ","중견기업부","1053","0","0.00","1053","1063","1047","14761","15522265","27508602537","26124029"
"000300","DH오토넥스","KOSPI",,"1984","0","0.00","0","0","0","0","0","162944308992","82129188"
"290120","DH오토리드","KOSDAQ","우량기업부","2430","85","3.62","2350","2430","2345","12718","30222745","38452925070","15824249"
"025440","DH오토웨어","KOSDAQ","중견기업부","805","-3","-0.37","800","815","795","27181","21830623","39268885320","48781224"
"001530","DI동일","KOSPI",,"41300","-100","-0.24","41400","41800","41100","15317","632376050","814819264000","19729280"
"015590","DKME","KOSPI",,"515","0","0.00","0","0","0","0","0","122045495160","236981544"
"000210","DL","KOSPI",,"38850","-500","-1.27","39350","39900","38800","35146","1372375350","814136093400","20955884"
"000215","DL우","KOSPI",,"23250","-250","-1.06","24300","24300","22950","2933","67864725","39202173750","1686115"
"375500","DL이앤씨","KOSPI",,"42750","200","0.47","42650","42950","42350","102895","4391658525","1654152383250","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"29600","50","0.17","29950","29950","29400","441","13083450","62513749600","2111951"
"37550K","DL이앤씨우","KOSPI",,"19340","-150","-0.77","19330","19830","19330","3912","76013450","40882535900","2113885"
"068790","DMS","KOSDAQ","관리종목(소속부없음)","6330","0","0.00","0","0","0","0","0","149939488590","23687123"
"007340","DN오토모티브","KOSPI",,"26550","350","1.34","26700","26850","26250","62733","1664491450","1553463465750","58510865"
"004840","DRB동일","KOSPI",,"4980","-60","-1.19","5000","5040","4965","16679","83144425","99251400000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","중견기업부","6570","-40","-0.61","6610","6660","6450","145390","952545660","177390000000","27000000"
"155660","DSR","KOSPI",,"3735","40","1.08","3695","3750","3692","5349","19947573","59760000000","16000000"
"069730","DSR제강","KOSPI",,"3900","100","2.63","3800","3905","3800","122493","473991494","56160000000","14400000"
"017860","DS단석","KOSPI",,"21400","-350","-1.61","21850","21950","21350","59935","1292332050","376302136800","17584212"
"180400","DXVX","KOSDAQ","관리종목(소속부없음)","2500","-55","-2.15","2560","2590","2470","198567","497512117","123048580000","49219432"
"092780","DYP","KOSPI",,"4190","100","2.44","4095","4225","4090","12516","52304020","55175847400","13168460"
"017940","E1","KOSPI",,"73600","-700","-0.94","74900","74900","73100","5893","433201250","504896000000","6860000"
"418620","E8","KOSDAQ","기술성장기업부","3520","-120","-3.30","3640","3640","3480","30457","107712132","45233679040","12850477"
"245620","EDGC","KOSDAQ","관리종목(소속부없음)","415","0","0.00","0","0","0","0","0","57474989665","138493951"
"037370","EG","KOSDAQ","벤처기업부","5740","-40","-0.69","5830","5830","5700","12723","73049530","49507339280","8624972"
"278990","EMB","KONEX","일반기업부","3200","0","0.00","0","0","0","0","0","15477859200","4836831"
"365550","ESR켄달스퀘어리츠","KOSPI",,"4420","-15","-0.34","4435","4465","4395","403433","1789380655","1087713380000","246089000"
"050120","ES큐브","KOSDAQ","중견기업부","2560","115","4.70","2470","2650","2390","105502","265015307","34724060160","13564086"
"383220","F&F","KOSPI",,"68200","-300","-0.44","68000","68800","67400","40094","2734316850","2612542515000","38307075"
"007700","F&F홀딩스","KOSPI",,"17300","-230","-1.31","17530","17660","17200","20224","349702435","676678549100","39114367"
"214270","FSN","KOSDAQ","중견기업부","2710","-10","-0.37","2750","2750","2645","275822","747566826","118402498890","43690959"
"130500","GH신소재","KOSDAQ","우량기업부","2725","35","1.30","2690","2940","2670","475758","1332975489","39635266700","14545052"
"114090","GKL","KOSPI",,"16370","-510","-3.02","17010","17060","16230","184999","3086668725","1012577317900","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","3025","5","0.17","3020","3060","3005","71125","215658120","244571250000","80850000"
"078930","GS","KOSPI",,"43850","-450","-1.02","44200","44350","43750","104237","4577797175","4074339325300","92915378"
"083450","GST","KOSDAQ","우량기업부","20150","960","5.00","19230","20400","19170","368452","7304485660","371364500000","18430000"
"006360","GS건설","KOSPI",,"18860","40","0.21","18860","19000","18740","259755","4904154330","1614066901400","85581490"
"001250","GS글로벌","KOSPI",,"2570","-30","-1.15","2605","2610","2560","439629","1130926156","212111773480","82533764"
"007070","GS리테일","KOSPI",,"16400","140","0.86","16390","16470","16220","72636","1190148030","1371161606000","83607415"
"078935","GS우","KOSPI",,"41600","-200","-0.48","41950","41950","41550","3654","152106575","74248761600","1784826"
"499790","GS피앤엘","KOSPI",,"48900","-750","-1.51","49650","50500","48300","141718","6958849425","969728124900","19830841"
"297890","HB솔루션","KOSDAQ","우량기업부","2270","15","0.67","2280","2280","2235","134107","302697553","166029874780","73140914"
"440290","HB인베스트먼트","KOSDAQ","중견기업부","2145","-15","-0.69","2180","2180","2090","80537","171422245","58144536450","27107010"
"078150","HB테크놀러지","KOSDAQ","우량기업부","1844","2","0.11","1842","1860","1820","267894","493667871","170968149104","92715916"
"225530","HC보광산업","KOSDAQ","우량기업부","3480","0","0.00","3490","3540","3425","12638","43722170","126458769960","36338727"
"060560","HC홈센타","KOSDAQ","중견기업부","755","-1","-0.13","759","759","749","27098","20391781","96390491375","127669525"
"012630","HDC","KOSPI",,"21250","250","1.19","20950","21600","20650","132954","2820278850","1269511571250","59741721"
"039570","HDC랩스","KOSPI",,"8340","-230","-2.68","8520","8540","8280","46162","386721370","216486392340","25957601"
"089470","HDC현대EP","KOSPI",,"4025","-5","-0.12","4050","4050","4010","5058","20330445","128397500000","31900000"
"294870","HDC현대산업개발","KOSPI",,"20200","100","0.50","20100","20300","20100","88479","1786503725","1331328066000","65907330"
"009540","HD한국조선해양","KOSPI",,"368000","21000","6.05","348000","372500","348000","504881","182884687250","26044506688000","70773116"
"267250","HD현대","KOSPI",,"135700","3100","2.34","133600","138000","132000","187039","25181177750","10719361634500","78993085"
"267270","HD현대건설기계","KOSPI",,"88300","-200","-0.23","89100","89600","87400","71408","6286125450","1559535968700","17661789"
"443060","HD현대마린솔루션","KOSPI",,"207500","8100","4.06","198700","210000","197300","250764","51196745600","9302061075000","44829210"
"071970","HD현대마린엔진","KOSPI",,"84500","5600","7.10","79400","84700","78900","692592","57000309900","2866366327500","33921495"
"010620","HD현대미포","KOSPI",,"215000","26500","14.06","190500","219500","190500","2119692","446118996850","8587562035000","39942149"
"322000","HD현대에너지솔루션","KOSPI",,"43000","750","1.78","42600","43400","42300","62341","2672878400","481600000000","11200000"
"042670","HD현대인프라코어","KOSPI",,"14300","-160","-1.11","14470","14590","14220","914058","13111346700","2700572703400","188851238"
"267260","HD현대일렉트릭","KOSPI",,"495000","-6000","-1.20","502000","503000","494000","72264","35909514250","17843331825000","36047135"
"329180","HD현대중공업","KOSPI",,"525000","57000","12.18","474500","529000","473000","752413","377059081000","46605885900000","88773116"
"097230","HJ중공업","KOSPI",,"13520","-280","-2.03","13950","14040","13500","1935970","26707769535","1125868279120","83274281"
"195940","HK이노엔","KOSDAQ GLOBAL","우량기업부","48800","-100","-0.20","49050","49150","48250","126194","6149341250","1382498680800","28329891"
"014790","HL D&I","KOSPI",,"2487","-8","-0.32","2520","2520","2485","13384","33459471","94154340687","37858601"
"028300","HLB","KOSDAQ","중견기업부","37500","-400","-1.06","38350","38500","37000","499417","18744771850","4928964675000","131439058"
"003580","HLB글로벌","KOSPI",,"2085","10","0.48","2085","2110","2050","51178","106540507","104910065130","50316578"
"278650","HLB바이오스텝","KOSDAQ","중견기업부","1241","-3","-0.24","1244","1251","1221","122964","151707401","107973873899","87005539"
"343090","HLB사이언스","KONEX","일반기업부","1641","17","1.05","1696","1696","1405","10216","16428765","29278411851","17841811"
"067630","HLB생명과학","KOSDAQ","투자주의환기종목(소속부없음)","3545","-65","-1.80","3630","3630","3515","368671","1310841292","432195970610","121917058"
"024850","HLB이노베이션","KOSDAQ","중견기업부","1532","9","0.59","1535","1545","1503","119355","181672063","221073916436","144304123"
"187420","HLB제넥스","KOSDAQ","기술성장기업부","3125","-55","-1.73","3240","3240","3040","57672","179305730","91049631250","29135882"
"047920","HLB제약","KOSDAQ","기술성장기업부","13620","30","0.22","13690","13810","13350","91779","1248634775","446727228720","32799356"
"115450","HLB테라퓨틱스","KOSDAQ","중견기업부","3070","35","1.15","3040","3105","3025","404286","1239281900","259053547410","84382263"
"046210","HLB파나진","KOSDAQ","벤처기업부","1707","-5","-0.29","1720","1720","1686","35974","61132466","77031307626","45126718"
"196300","HLB펩","KOSDAQ","관리종목(소속부없음)","7720","-80","-1.03","7770","7910","7670","2720","20938220","71745032560","9293398"
"204320","HL만도","KOSPI",,"35750","250","0.70","35550","35800","35250","80234","2858139625","1678717040000","46957120"
"060980","HL홀딩스","KOSPI",,"38400","200","0.52","38450","38900","38250","8941","345331200","361108876800","9403877"
"011200","HMM","KOSPI",,"21900","-100","-0.45","22200","22250","21900","872475","19202371075","22448364962400","1025039496"
"403870","HPSP","KOSDAQ GLOBAL","우량기업부","25725","-125","-0.48","25900","25950","25450","189526","4881416500","2148000661800","83498568"
"036640","HRS","KOSDAQ","우량기업부","5440","0","0.00","5470","5470","5390","25217","136747710","88970112000","16354800"
"035000","HS애드","KOSPI",,"8430","-80","-0.94","8510","8510","8360","26292","220696465","139663257870","16567409"
"002460","HS화성","KOSPI",,"10280","-70","-0.68","10350","10700","10250","12164","126028300","104342000000","10150000"
"487570","HS효성","KOSPI",,"55500","-1300","-2.29","56900","57000","55200","7702","428988700","206788948500","3725927"
"298050","HS효성첨단소재","KOSPI",,"190000","1600","0.85","190000","192600","188600","7459","1421027550","851190120000","4479948"
"442770","IBKS제21호스팩","KOSDAQ","SPAC(소속부없음)","2185","-15","-0.68","2200","2210","2185","20053","43991600","9198850000","4210000"
"448760","IBKS제22호스팩","KOSDAQ","SPAC(소속부없음)","2275","0","0.00","0","0","0","0","0","10078250000","4430000"
"467930","IBKS제23호스팩","KOSDAQ","SPAC(소속부없음)","2195","25","1.15","2170","2195","2140","5053","10827570","9284850000","4230000"
"469480","IBKS제24호스팩","KOSDAQ","SPAC(소속부없음)","2150","0","0.00","2140","2155","2135","5484","11713580","9094500000","4230000"
"003560","IHQ","KOSPI",,"10760","0","0.00","0","0","0","0","0","76220934800","7083730"
"015360","INVENI","KOSPI",,"60800","100","0.16","60000","61600","60000","4967","302500400","364800000000","6000000"
"095340","ISC","KOSDAQ GLOBAL","우량기업부","57600","-800","-1.37","58500","58600","57400","76139","4394816500","1220950540800","21197058"
"175330","JB금융지주","KOSPI",,"23125","25","0.11","22950","23400","22950","247340","5743373675","4421110205000","191183144"
"950170","JTC","KOSDAQ","외국기업(소속부없음)","6500","50","0.78","6410","6540","6410","63230","409665505","336351262000","51746348"
"234080","JW생명과학","KOSPI",,"11500","-10","-0.09","11600","11600","11460","10837","124585215","182097371000","15834554"
"067290","JW신약","KOSDAQ","중견기업부","1498","8","0.54","1490","1498","1480","53700","79919209","79957436748","53376126"
"001060","JW중외제약","KOSPI",,"21500","0","0.00","21600","21750","21450","27158","586785975","500647495000","23285930"
"001067","JW중외제약2우B","KOSPI",,"58800","-700","-1.18","58600","58800","58600","39","2289800","12346412400","209973"
"001065","JW중외제약우","KOSPI",,"28750","-150","-0.52","29200","29200","28750","22","641050","9831091250","341951"
"096760","JW홀딩스","KOSPI",,"3290","0","0.00","3310","3310","3270","32495","106726655","243213059180","73924942"
"035900","JYP Ent.","KOSDAQ GLOBAL","우량기업부","74900","-1600","-2.09","76600","76900","74600","418997","31515568950","2661383650800","35532492"
"318000","KBG","KOSDAQ","벤처기업부","4945","-105","-2.08","5050","5050","4915","29801","148099785","43220402735","8740223"
